файл	класс	правил_CSS	в_разметке	в_JS	статус
report	recrow	9	0	0	НЕиспользуется
report	rectag	1	0	0	НЕиспользуется
report	rectot	9	0	0	НЕиспользуется
report	recwarn	5	0	0	НЕиспользуется
report	red	1	0	0	НЕиспользуется
report	refl	3	0	1	ok
report	res	1	0	0	НЕиспользуется
report	rnum	2	0	1	ok
report	rr	6	0	0	НЕиспользуется
report	rs	2	0	0	НЕиспользуется
report	rt	8	0	0	НЕиспользуется
report	rt2	3	0	0	НЕиспользуется
report	rtc	3	0	0	НЕиспользуется
report	rtf	2	0	0	НЕиспользуется
report	rtg	2	0	0	НЕиспользуется
report	rtt	1	0	0	НЕиспользуется
report	rtx	1	0	1	ok
report	rw	7	1	0	много_правил(7)
report	rwi	1	0	0	НЕиспользуется
report	s	3	0	1	ok
report	s1	6	1	0	ok
report	s2	6	1	0	ok
report	s3	6	1	0	ok
report	s3g	7	0	1	много_правил(7)
report	s3h	1	0	1	ok
report	s3t	5	0	1	ok
report	saletag	2	1	0	ok
report	savebar	4	1	0	ok
report	savebtn	4	1	0	ok
report	savenote	1	0	0	НЕиспользуется
report	sbox	6	0	0	НЕиспользуется
report	sc	2	0	0	НЕиспользуется
report	sc3	7	0	1	много_правил(7)
report	scdeco	5	0	1	ok
report	scmp	2	0	0	НЕиспользуется
report	scn	18	1	0	много_правил(18)
report	scn3	20	0	1	много_правил(20)
report	sd	1	0	1	ok
report	sdiff	2	0	0	НЕиспользуется
report	seg	3	0	1	ok
report	segan	0	0	1	БЕЗ_стиля
report	segtip	8	0	0	НЕиспользуется
report	sh	3	0	0	НЕиспользуется
report	sl	1	0	0	НЕиспользуется
report	slg	3	1	1	ok
report	sm	3	1	1	ok
report	sn	2	0	1	ok
report	spc	2	1	0	ok
report	spcc	8	0	1	много_правил(8)
report	srt	7	1	0	много_правил(7)
report	st	1	0	1	ok
report	st4	1	1	0	ok
report	sub	1	1	0	ok
report	sub2	1	1	0	ok
report	subh	2	0	0	НЕиспользуется
report	subhd	2	0	0	НЕиспользуется
report	sum	1	0	0	НЕиспользуется
report	sv	5	0	1	ok
report	t	7	1	1	много_правил(7)
report	tabw	1	1	0	ok
report	tbar	22	1	0	много_правил(22)
report	tbn	2	1	0	ok
report	team	1	0	0	НЕиспользуется
report	three	6	1	0	ok
report	thx	6	1	0	ok
report	thxb	10	1	0	много_правил(10)
report	thxbar	1	1	0	ok
report	thxd	1	1	0	ok
report	thxd2	1	1	0	ok
report	thxn	2	1	0	ok
report	tip	1	0	0	НЕиспользуется
report	top	2	1	1	ok
report	tot	3	0	1	ok
report	tp	1	1	0	ok
report	tpl	7	0	0	НЕиспользуется
report	trb	8	1	0	много_правил(8)
report	trh	1	1	0	ok
report	tri	1	1	0	ok
report	ts	1	1	0	ok
report	tt	1	0	0	НЕиспользуется
report	two	4	0	0	НЕиспользуется
